DayOfWeek,Location,Temperature,#retweets,#followers,label
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],14.2,0,407,i love lettuce
[ 0.  0.  0.  0.  0.  0.  1.],[ 1.  0.  0.],15.31,0,3364,New enamel pin arrivals! @ Mission: Comics &amp; Art https://t.co/HF0v61Z7oa
[ 0.  0.  0.  0.  0.  0.  1.],[ 1.  0.  0.],15.31,0,4819,This slide from the @Tech4Campaigns overview deck is just delightful. Yay Virginia House of Delegates! https://t.co/tjqN9w9ure
[ 0.  0.  0.  0.  0.  0.  1.],[ 1.  0.  0.],15.31,0,416,We're #hiring! Click to apply: Credit Risk Analytics Consultant 4 - FDR Specialist - https://t.co/MHiBO8RkMe… https://t.co/RAkXoR49Dg
[ 0.  0.  0.  0.  0.  0.  1.],[ 1.  0.  0.],15.31,0,160,#dndecember I agree with @ProJared that rouges are awesome as helpers than fighters! Right now my favorite class is… https://t.co/IsCPVy7KWY
[ 0.  0.  0.  0.  0.  0.  1.],[ 1.  0.  0.],15.31,0,1387,Found a vintage Lee denim coat today and my cat loves it.   😺 https://t.co/aWLDSIv2Gy
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],14.2,0,418,"We're #hiring! Read about our latest #job opening here: Payroll Accountant - https://t.co/cq2LeFe42c #Accounting #SanJose, CA #CareerArc"
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],8.67,0,5965,FOX THEATER TONIGHT. 🦊   7:00 - DOORS 8:00 - Ya Boys DROELOE 9:00 - @JustAGent  10:00 - @sanholobeats   VINCE HAS A… https://t.co/a6hG6L7W9c
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],8.67,0,1050,smh my brother thought his car got stolen whole time police had towed it
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],28.43,0,459,"Can you recommend anyone for this #job? Team CDL A Owner Operator, Truck Driver - https://t.co/FYeKvD7DA2… https://t.co/NTgz4S8N34"
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],14.2,0,3392,This one is for us 70’s kids !! #thenextcrimefightingduo @JohnBarrowman #WonderWoman @heroesfanfest @CelebPhotoOps… https://t.co/JfDX0KE8F2
[ 0.  0.  0.  0.  0.  0.  1.],[ 1.  0.  0.],15.31,0,682,"Can you recommend anyone for this #job? Accounting Clerk - https://t.co/5OOAat2Vcd #Sales #SanFrancisco, CA #Hiring #CareerArc"
[ 0.  0.  0.  0.  0.  0.  1.],[ 1.  0.  0.],15.31,0,427,"We're #hiring! Click to apply: EXECUTIVE ASSISTANT - https://t.co/1hRYzfb0gT #Clerical #SanFrancisco, CA #Job #Jobs #CareerArc"
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],14.2,0,1826,My future fridge when I have my own place https://t.co/OLFPOG4lkk
[ 0.  0.  0.  0.  0.  0.  1.],[ 1.  0.  0.],15.31,0,67,Alex Hornibrook pick.
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],14.2,0,12590,When we’re confronted in life or business with a challenge or hardship we always have more than… https://t.co/toQ8t5pRzs
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],9.96,0,275,Ya love ain’t 2 kind 2 me.
[ 0.  0.  0.  0.  0.  0.  1.],[ 1.  0.  0.],15.31,0,433,"Can you recommend anyone for this #job? barista - Store# 05517, VAN NESS &amp; CALIFORNIA-WFB - https://t.co/swbKQz4Owu… https://t.co/sb3Erf6Ek5"
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],8.67,0,1657,Had to get up outta there 🏃🏾‍♂️
[ 0.  0.  0.  0.  0.  0.  1.],[ 1.  0.  0.],15.31,0,797,gooo bucks baby
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],8.67,0,1112,NAH NOT COKE *METH* https://t.co/xV9VqFpv0s
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],8.67,0,1050,LMAO THESE NIGGAS BE FUCKING AROUND ON THE SITE https://t.co/6vy1n2wHbf
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],14.2,0,69,Heroes and Villains Fan Fest 2017 Cosplay @ San Jose Convention Center https://t.co/ABAfmdguWT
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],14.2,0,239,"I can feel it, change is coming 😃"
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],8.67,0,1024,@KQED @NPR I had such a problem with that segment just now. So problematic.
[ 0.  0.  0.  0.  0.  0.  1.],[ 1.  0.  0.],15.31,0,10233,"@Google Had to refer to this tweet as I couldn't remember the name again. FYI future Smerity, who'll inevitably nee… https://t.co/1aNcHYGEAY"
[ 0.  0.  0.  0.  0.  0.  1.],[ 1.  0.  0.],15.31,0,209,I've never seen a league of legends commercial until now and I hated every second that passed before he skip button popped up
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],28.43,0,315,"See our latest #Brisbane, CA #job and click to apply: Designer - https://t.co/ls03kz00Dj #WebDesign #Hiring #CareerArc"
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],14.2,0,477,If I could STOP catching feels so easily that’d be greeeeat (☝︎ ՞ਊ ՞)☝︎
[ 0.  0.  0.  0.  0.  0.  1.],[ 1.  0.  0.],15.31,0,246,Dressing rooms 😈🤟🏻
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],8.67,0,428,TONIGHT at @legionnaire510 --- back at it for WHERE IT'S AT! A funk and soul dance party!! With… https://t.co/2KB4XS26QK
[ 0.  0.  0.  0.  0.  0.  1.],[ 1.  0.  0.],15.31,0,67,Apex Hornibrook was doing great...
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],14.2,0,295,🎄MERRY CHRISTMAS 🎄 Folks! @ The Alameda https://t.co/4orKUKodGY
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],8.67,0,8654,"Stoked to open 🎧for this party tonight! Fun theme, everything goes so I plan to drop some...  Queen Hall &amp; Oates Tu… https://t.co/C7o6zBow5R"
[ 0.  0.  0.  0.  0.  0.  1.],[ 1.  0.  0.],15.31,0,285,"If you want to experience true angst, try buying a beret while high"
[ 0.  0.  0.  0.  0.  0.  1.],[ 1.  0.  0.],15.31,0,10443,@SirCrest What do you get for that? Have you price compared it to something like @Unlimitedville?
[ 0.  0.  0.  0.  0.  0.  1.],[ 1.  0.  0.],15.31,0,67,Now that the interception has been thrown the real game can now begin.
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],,0,249,I just got an executive membership at Costco and now i feel like a boss walking around... like get outta here gold… https://t.co/ZX1U9HUXDU
